customer_id,plan_id,start_date
1,0,2020-08-01T00:00:00.000Z
1,1,2020-08-08T00:00:00.000Z
2,0,2020-09-20T00:00:00.000Z
2,3,2020-09-27T00:00:00.000Z
3,0,2020-01-13T00:00:00.000Z
3,1,2020-01-20T00:00:00.000Z
4,0,2020-01-17T00:00:00.000Z
4,1,2020-01-24T00:00:00.000Z
4,4,2020-04-21T00:00:00.000Z
5,0,2020-08-03T00:00:00.000Z
5,1,2020-08-10T00:00:00.000Z
6,0,2020-12-23T00:00:00.000Z
6,1,2020-12-30T00:00:00.000Z
6,4,2021-02-26T00:00:00.000Z
7,0,2020-02-05T00:00:00.000Z
7,1,2020-02-12T00:00:00.000Z
7,2,2020-05-22T00:00:00.000Z
8,0,2020-06-11T00:00:00.000Z
8,1,2020-06-18T00:00:00.000Z
8,2,2020-08-03T00:00:00.000Z
9,0,2020-12-07T00:00:00.000Z
9,3,2020-12-14T00:00:00.000Z
10,0,2020-09-19T00:00:00.000Z
10,2,2020-09-26T00:00:00.000Z
11,0,2020-11-19T00:00:00.000Z
11,4,2020-11-26T00:00:00.000Z
12,0,2020-09-22T00:00:00.000Z
12,1,2020-09-29T00:00:00.000Z
13,0,2020-12-15T00:00:00.000Z
13,1,2020-12-22T00:00:00.000Z
13,2,2021-03-29T00:00:00.000Z
14,0,2020-09-22T00:00:00.000Z
14,1,2020-09-29T00:00:00.000Z
15,0,2020-03-17T00:00:00.000Z
15,2,2020-03-24T00:00:00.000Z
15,4,2020-04-29T00:00:00.000Z
16,0,2020-05-31T00:00:00.000Z
16,1,2020-06-07T00:00:00.000Z
16,3,2020-10-21T00:00:00.000Z
17,0,2020-07-27T00:00:00.000Z
17,1,2020-08-03T00:00:00.000Z
17,3,2020-12-11T00:00:00.000Z
18,0,2020-07-06T00:00:00.000Z
18,2,2020-07-13T00:00:00.000Z
19,0,2020-06-22T00:00:00.000Z
19,2,2020-06-29T00:00:00.000Z
19,3,2020-08-29T00:00:00.000Z
20,0,2020-04-08T00:00:00.000Z
20,1,2020-04-15T00:00:00.000Z
20,3,2020-06-05T00:00:00.000Z
21,0,2020-02-04T00:00:00.000Z
21,1,2020-02-11T00:00:00.000Z
21,2,2020-06-03T00:00:00.000Z
21,4,2020-09-27T00:00:00.000Z
22,0,2020-01-10T00:00:00.000Z
22,2,2020-01-17T00:00:00.000Z
23,0,2020-05-13T00:00:00.000Z
23,3,2020-05-20T00:00:00.000Z
24,0,2020-11-10T00:00:00.000Z
24,2,2020-11-17T00:00:00.000Z
24,3,2021-04-17T00:00:00.000Z
25,0,2020-05-10T00:00:00.000Z
25,1,2020-05-17T00:00:00.000Z
25,2,2020-06-16T00:00:00.000Z
26,0,2020-12-08T00:00:00.000Z
26,2,2020-12-15T00:00:00.000Z
27,0,2020-08-24T00:00:00.000Z
27,2,2020-08-31T00:00:00.000Z
28,0,2020-06-30T00:00:00.000Z
28,3,2020-07-07T00:00:00.000Z
29,0,2020-01-23T00:00:00.000Z
29,2,2020-01-30T00:00:00.000Z
30,0,2020-04-29T00:00:00.000Z
30,1,2020-05-06T00:00:00.000Z
31,0,2020-06-22T00:00:00.000Z
31,2,2020-06-29T00:00:00.000Z
31,3,2020-11-29T00:00:00.000Z
32,0,2020-06-12T00:00:00.000Z
32,1,2020-06-19T00:00:00.000Z
32,2,2020-07-18T00:00:00.000Z
33,0,2020-09-03T00:00:00.000Z
33,2,2020-09-10T00:00:00.000Z
33,4,2021-02-05T00:00:00.000Z
34,0,2020-12-20T00:00:00.000Z
34,1,2020-12-27T00:00:00.000Z
34,2,2021-03-26T00:00:00.000Z
35,0,2020-09-03T00:00:00.000Z
35,2,2020-09-10T00:00:00.000Z
36,0,2020-02-25T00:00:00.000Z
36,2,2020-03-03T00:00:00.000Z
37,0,2020-08-05T00:00:00.000Z
37,1,2020-08-12T00:00:00.000Z
37,2,2020-11-11T00:00:00.000Z
38,0,2020-10-02T00:00:00.000Z
38,2,2020-10-09T00:00:00.000Z
38,3,2020-11-09T00:00:00.000Z
39,0,2020-05-28T00:00:00.000Z
39,1,2020-06-04T00:00:00.000Z
39,2,2020-08-25T00:00:00.000Z
39,4,2020-09-10T00:00:00.000Z
40,0,2020-01-22T00:00:00.000Z
40,1,2020-01-29T00:00:00.000Z
40,2,2020-03-25T00:00:00.000Z
41,0,2020-05-16T00:00:00.000Z
41,2,2020-05-23T00:00:00.000Z
42,0,2020-10-27T00:00:00.000Z
42,1,2020-11-03T00:00:00.000Z
42,2,2021-04-28T00:00:00.000Z
43,0,2020-08-13T00:00:00.000Z
43,1,2020-08-20T00:00:00.000Z
43,2,2020-12-18T00:00:00.000Z
44,0,2020-03-17T00:00:00.000Z
